지역,이름,주소,위도,경도
고양시,벽제배수지테니스장,경기도 고양시 덕양구 보광로50번길 43,37.71797669,126.9072588
고양시,환경에너지 시설 내 테니스장,,37.64163592,126.7961488
고양시,성저테니스장,경기도 고양시 일산서구 중앙로 1601,37.67639699,126.7431482
고양시,토당제2근린공원 테니스장,,37.62588774,126.8297409
고양시,중산제2호근린공원테니스장,경기도 고양시 일산동구 중산로 217,37.69149892,126.7799025
고양시,일산스포츠센터 수영장,경기도 고양시 일산동구 중앙로 1182,37.65261403,126.7781242
고양시,꽃우물수영장,경기도 고양시 덕양구 어울림로 33,37.65059472,126.8347902
고양시,환경 에너지 시설 수영장,경기도 고양시 일산동구 경의로 84,37.64111676,126.7951241
고양시,고양체육관,경기도 고양시 일산서구 중앙로 1601,37.6746401,126.7418506
고양시,고양종합운동장,경기도 고양시 일산서구 중앙로 1601,37.6756846,126.7425418
고양시,고양종합운동장 보조경기장,경기도 고양시 일산서구 중앙로 1601,37.6756846,126.7425418
고양시,덕양 별무리경기장,경기도 고양시 일산서구 중앙로 1601,37.6756846,126.7425418
고양시,신일산 배수지 인라인하키장,경기도 고양시 일산동구 중산로 306-55,37.69915764,126.7839036
고양시,백석공원 근린공원 축구장,,37.64247925,126.7953719
고양시,대화레포츠공원 축구장,,37.67166718,126.7378781
고양시,충장체육시설 축구장,경기도 고양시 덕양구 행주로 108-1,37.60799786,126.8313042
고양시,지영동생활체육시설 축구장,,37.72397645,126.8347969
고양시,고양종합운동장 축구장,경기도 고양시 일산서구 중앙로 1601,37.67639699,126.7431482
고양시,고양종합운동 보조구장,경기도 고양시 일산서구 중앙로 1601,37.67639699,126.7431482
고양시,동산(창릉동)축구장,,37.64183197,126.893831
고양시,정발산공원축구장,,37.66326461,126.779229
고양시,강촌공원축구장,경기도 고양시 일산동구 강석로 132-1,37.65333509,126.7810761
고양시,지도공원축구장,,37.62588774,126.8297409
고양시,신원축구장,경기도 고양시 덕양구 호국로1254번길 11,37.67598756,126.8764874
고양시,현대태권도장,경기도 고양시 일산서구 고양대로 692,37.6836316,126.7727542
고양시,청우태권도장,"경기도 고양시 일산서구 대산로 56 (주엽동, 강선마을3단지아파트)",37.67181002,126.770443
고양시,연세덕이태권도장,"경기도 고양시 일산서구 덕이로 187, 지하1층 (덕이동)",37.69445634,126.7398681
고양시,일산동구 한체대 석사 화랑태권도장,"경기도 고양시 일산동구 산두로 13, 1층 (마두동)",37.66076106,126.7883512
고양시,골드짐헬스클럽,경기도 고양시 덕양구 중앙로 550  (행신동),37.62349979,126.8362215
고양시,대한키즈태권도,"경기도 고양시 일산동구 고풍로 72-41  (풍동,풍동성원아파트5차단지내 상가)",37.66543749,126.7956198
고양시,이레스포츠클럽(복싱),"경기도 고양시 덕양구 은빛로 41  (화정동,대경프라자10층)",37.63817917,126.8324413
고양시,명문유도체육관,"경기도 고양시 덕양구 토당로168번길 44  (토당동,지층)",37.62661569,126.8214843
고양시,검도아카데미,"경기도 고양시 일산서구 일산로 528, 201호 (일산동, 신문화빌딩)",37.67735579,126.7694135
고양시,경희대튼튼태권도장,경기도 고양시 일산서구 킨텍스로 283 (대화동),37.6704751,126.7515879
고양시,행복한 동행 KTI 한류태권도 교육장,경기도 고양시 덕양구 삼송로 94-6 (삼송동),37.65055817,126.8845106
고양시,경희대강선태권도장,"경기도 고양시 일산서구 강선로 67, 상가동 301호 (주엽동, 강선마을7단지)",37.67018035,126.7649142
고양시,본주짓수유도,"경기도 고양시 덕양구 삼송로139번길 1, 2층 (삼송동)",37.65271002,126.8892655
고양시,고양 용인대 힘찬 태권도장,"경기도 고양시 덕양구 도래울1로 57 (도내동, 태종빌딩)",37.62866465,126.86912
고양시,천하 태권도장,"경기도 고양시 일산동구 고봉로658번길 61-42, 2층 (성석동)",37.71454532,126.7932604
고양시,K복싱,"경기도 고양시 일산서구 송산로 388, 3층 (가좌동)",37.68491978,126.721808
고양시,용인대 한뫼 태권도장,"경기도 고양시 일산서구 원일로21번길 19, 4층 (일산동, 충만빌딩)",37.68806039,126.7645676
고양시,우슈체육관,"경기도 고양시 일산서구 킨텍스로 283, 2층 201호 (대화동)",37.6704751,126.7515879
고양시,행복한 경희대 멘토 태권도장,"경기도 고양시 덕양구 신원로 36, 403호 (신원동, 명승세도나 4층일부)",37.66375732,126.8886875
고양시,백마 복싱 체육관,"경기도 고양시 일산동구 일산로 234, 지하층 01,02,03호 (마두동, 백일상가)",37.65722165,126.7888158
고양시,OSJ 레슬링,"경기도 고양시 일산동구 장백로 56, 704호 (백석동, 크리스탈빌딩)",37.64296852,126.7867981
고양시,한국체대 천마점핑태권도장,"경기도 고양시 일산서구 일청로91번길 76, 3층 301호 (일산동)",37.69120715,126.7705593
고양시,능곡태권도장,"경기도 고양시 덕양구 토당로162번길 36  (토당동,인수빌딩 2층)",37.62676571,126.8209277
고양시,고려대태권도체육관,경기도 고양시 일산동구 백석로 105,37.64925357,126.7887558
고양시,레드존 복싱,"경기도 고양시 덕양구 도래울로 104, 601호 (도내동, KB골든타워)",37.63443055,126.8720067
고양시,원펀치 쓰리 칼로리,"경기도 고양시 덕양구 화신로260번길 36, 지1층 (화정동, 밀레니엄타워)",37.63215291,126.8330846
고양시,벽제검도장,"경기도 고양시 덕양구 통일로 798 (관산동, 삼보빌딩)",37.68899025,126.8623599
고양시,세일체육센타,"경기도 고양시 덕양구 화중로 60  (화정동,화정빌딩401호)",37.6324375,126.8308154
고양시,능곡연세태권도장,경기도 고양시 덕양구 토당로32번길 30 (토당동),37.61988293,126.8230866
고양시,수성체육관,"경기도 고양시 덕양구 혜음로 21, 4층 (고양동, 동원빌딩)",37.70254455,126.9016076
고양시,송포태권도장,"경기도 고양시 일산서구 송산로 393, 204,205호 (가좌동)",37.6854744,126.7225394
고양시,후곡 한국체대태권도장,"경기도 고양시 일산서구 강선로 137, 201호 (일산동, 후곡마을16단지)",37.67575549,126.7686127
고양시,성실체육관,"경기도 고양시 덕양구 혜음로 45 (고양동, 고양메디컬빌딩)",37.70466424,126.9019195
고양시,정무일도태권도,"경기도 고양시 덕양구 중앙로 542 (행신동, 세신훼미리타운)",37.6233509,126.8369934
고양시,흰돌튼튼체육관,"경기도 고양시 일산동구 백석로 26, 상가동 303호 (백석동, 흰돌마을)",37.64400922,126.7845098
고양시,일산천하태권도장,"경기도 고양시 일산서구 고양대로 618, 315호 (일산동, 풍원리빙프라자)",37.68604417,126.7650072
고양시,신성태권도체육관,"경기도 고양시 일산서구 일산로 570, 지층 (일산동, 한성빌딩)",37.67916873,126.7652678
고양시,학사태권도체육관,경기도 고양시 일산서구 대산로226번길 24-16 (대화동),37.6794921,126.7550355
고양시,라이온스태권도,,,
고양시,중앙유도관,"경기도 고양시 덕양구 호국로789번길 6 (주교동, 중앙빌딩)",37.65698347,126.8360936
고양시,부영-라이온스,경기도 고양시 덕양구 백양로 108,37.635362,126.8347446
고양시,용인대타이곤태권도장,"경기도 고양시 일산동구 산두로 192, 1층 (정발산동)",37.67435579,126.7828577
